date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:30:17	1159/1159	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%22999-62c84847-f867e9a5c438f210;gz%22	https://bvite-html.pixelwibes.in/robots.txt		(from )
08:30:17	147768/147768	---M-Z	200	added ('OK')	text/html	etag:%2224138-6541f183-94033969cb535ef5;gz%22	https://bvite-html.pixelwibes.in/	bvite-html.pixelwibes.in/index.html	(from )
08:30:18	14462/14462	---M-Z	200	added ('OK')	image/x-icon	etag:%22387e-6541f20e-5a7b2d472d77ff1b;gz%22	https://bvite-html.pixelwibes.in/assets/images/favicon.ico	bvite-html.pixelwibes.in/assets/images/favicon.ico	(from https://bvite-html.pixelwibes.in/)
08:30:18	502/502	---M--	200	added ('OK')	image/png	etag:%221f6-6541f20e-c357f0c290b445a3;;;%22	https://bvite-html.pixelwibes.in/assets/images/favicon-16x16.png	bvite-html.pixelwibes.in/assets/images/favicon-16x16.png	(from https://bvite-html.pixelwibes.in/)
08:30:19	1340/1340	---M--	200	added ('OK')	image/png	etag:%2253c-6541f20e-68a2b3780b10388;;;%22	https://bvite-html.pixelwibes.in/assets/images/favicon-32x32.png	bvite-html.pixelwibes.in/assets/images/favicon-32x32.png	(from https://bvite-html.pixelwibes.in/)
08:30:20	12369/12369	---M--	200	added ('OK')	image/png	etag:%223051-6541f20d-4ed7800c98b0794e;;;%22	https://bvite-html.pixelwibes.in/assets/images/apple-touch-icon.png	bvite-html.pixelwibes.in/assets/images/apple-touch-icon.png	(from https://bvite-html.pixelwibes.in/)
08:30:21	327459/327459	---M-Z	200	added ('OK')	text/css	etag:%224ff23-6541f275-676412e80df2e29;gz%22	https://bvite-html.pixelwibes.in/assets/css/style.min.css	bvite-html.pixelwibes.in/assets/css/style.min.css	(from https://bvite-html.pixelwibes.in/)
08:30:23	147768/147768	---M-Z	200	added ('OK')	text/html	etag:%2224138-6541f183-94033969cb535ef5;gz%22	https://bvite-html.pixelwibes.in/index.html	bvite-html.pixelwibes.in/index-2.html	(from https://bvite-html.pixelwibes.in/)
08:30:23	125329/125329	---M-Z	200	added ('OK')	text/html	etag:%221e991-6541f184-bb89f5f33f39f3f6;gz%22	https://bvite-html.pixelwibes.in/my-profile.html	bvite-html.pixelwibes.in/my-profile.html	(from https://bvite-html.pixelwibes.in/)
08:30:25	140174/140174	---M-Z	200	added ('OK')	text/html	etag:%222238e-6541f181-a67a4aacbfbf29cb;gz%22	https://bvite-html.pixelwibes.in/blog.html	bvite-html.pixelwibes.in/blog.html	(from https://bvite-html.pixelwibes.in/)
08:30:27	117925/117925	---M-Z	200	added ('OK')	text/html	etag:%221cca5-6541f288-9cc48a724ac59de3;gz%22	https://bvite-html.pixelwibes.in/docs/changelog.html	bvite-html.pixelwibes.in/docs/changelog.html	(from https://bvite-html.pixelwibes.in/)
08:30:28	44267/44267	---M--	200	added ('OK')	image/png	etag:%22aceb-6541f20f-44a69f0fda51633d;;;%22	https://bvite-html.pixelwibes.in/assets/images/profile_av.png	bvite-html.pixelwibes.in/assets/images/profile_av.png	(from https://bvite-html.pixelwibes.in/)
08:30:29	133023/133023	---M-Z	200	added ('OK')	text/html	etag:%222079f-6541f185-f28652f558e9b695;gz%22	https://bvite-html.pixelwibes.in/my-wallet.html	bvite-html.pixelwibes.in/my-wallet.html	(from https://bvite-html.pixelwibes.in/)
08:30:29	141992/141992	---M-Z	200	added ('OK')	text/html	etag:%2222aa8-6541f184-f4f143cfbc494716;gz%22	https://bvite-html.pixelwibes.in/my-task.html	bvite-html.pixelwibes.in/my-task.html	(from https://bvite-html.pixelwibes.in/)
08:30:31	156529/156529	---M-Z	200	added ('OK')	text/html	etag:%2226371-6541f181-2d455cde4b0a5d81;gz%22	https://bvite-html.pixelwibes.in/account-settings.html	bvite-html.pixelwibes.in/account-settings.html	(from https://bvite-html.pixelwibes.in/)
08:30:31	5304/5304	---M-Z	200	added ('OK')	text/html	etag:%2214b8-6541f186-cf278f1dd57b1df5;gz%22	https://bvite-html.pixelwibes.in/signin.html	bvite-html.pixelwibes.in/signin.html	(from https://bvite-html.pixelwibes.in/)
08:30:32	147465/147465	---M-Z	200	added ('OK')	text/html	etag:%2224009-6541f183-96dde458c3891bfe;gz%22	https://bvite-html.pixelwibes.in/inbox.html	bvite-html.pixelwibes.in/inbox.html	(from https://bvite-html.pixelwibes.in/)
